Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Sarbjit,20/05/16,Y,"Aishwariya Rai, Randeep Hooda",1,0,25 - 50,<50,"25,69,50,000",2:11,2 - 2.5,51,1429,65619,67737,132803,137128,2.561809004,1,-2.738762074,0.038932151,2701.96,4491.95,3.23,96.06,3.26,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Veerappan,27/05/16,N,"Sandeep Bharadwaj, Sachiin Joshi",0,0,<25,<50,"6,42,50,000",2:05,2 - 2.5,0,0,14358,31356,31699,31849,2.057083436,0,-0.784879307,-0.59509819,0,0,118.39,1.09,0.47,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Do Lafzon Ki Kahani,6/10/2016,N,"Randeep Hooda, Kajjal Agarwal",1,0,<25,<50,"2,94,00,000",2:08,2 - 2.5,4786,5801,6795,10147,11436,13044,1.673809829,1,-0.766359556,-0.9827832,21.21,17.13,49.33,12.7,14.06,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Dhanak,17/6/16,Y,"Krish Chabbria, Hetal Gada",0,0,<25,<50,"1,91,00,000",1:46,<2,844,1817,18827,19235,19473,19705,1.63673666,1,-1.519989804,-0.803617551,115.28,936.16,2.17,1.24,1.19,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7 Hours to Go,24/6/16,N,"Shiv Pandit, Sandeepa Dhar",0,0,<25,<50,"54,95,000",1:55,<2,477,7017,7132,29252,42191,42206,2.451870011,1,-1.767813871,-0.472819796,1371.07,1.64,310.15,44.23,0.04,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Dil Toh Deewana Hai,24/6/16,N,"Hyder Khan, Sada",0,0,<25,<50,"1,50,000",2:15,2 - 2.5,0,0,3728,3994,9087,10033,2.984413112,0,-1.370497352,-1.096763178,0,0,591.11,127.52,10.41,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Legend of Michael Mishra,8/5/2016,N,"Arshad Warsi, Boman Irani",0,0,<25,<50,"89,35,000",2:05,2 - 2.5,0,0,0,55366,92478,100269,3.391040556,0,-0.280054114,-0.097027307,0,0,0,67.03,8.42,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Hai Apna Dil Toh Awara,24/6/16,N,"Sahil Anand, Vikram Kochhar",0,0,<25,<50,"6,50,000",3:27,>3,833,2130,50932,54724,54715,54661,1.673289089,1,-1.525687249,-0.360516418,155.7,2291.17,7.45,-0.02,-0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Waarrior Savitri,25/8/16,N,"Rajat Barmecha, Niharica Raizada",0,0,<25,<50,"9,00,000",2:00,2 - 2.5,2954,3024,3992,33512,73777,97372,4.15200539,1,-0.97592176,-0.1097599,2.37,32.01,739.48,120.15,31.98,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Raaz Reboot,16/9/16,Y,"Emraan Hashmi, Gaurav Arora ",0,0,<25,<50,"24,81,50,000",2:08,2 - 2.5,2103,5062,11401,23846,27897,29922,2.127892588,1,-1.123492978,-0.622203372,140.7,125.23,109.16,16.99,7.26,1,1,0,0,0,0,1,0,0,0,0,0,1,1
